LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1126.460485,1126.460466,1661327444.747261,66611.000,8937,1,T1,1,100,35.133
1126.594702,1126.594683,1661327444.881478,66741.000,8954,1,T1,1,100,35.200
1126.726855,1126.726835,1661327445.013630,66869.000,8971,1,T1,1,100,35.157
1126.860039,1126.860020,1661327445.146815,66998.000,8988,1,T1,1,100,35.139
1126.993224,1126.993205,1661327445.280000,67127.000,9022,1,T1,1,100,35.167
1127.127441,1127.127422,1661327445.414217,67257.000,9040,1,T1,1,100,35.107
1127.260626,1127.260607,1661327445.547402,67386.000,9059,1,T1,1,100,35.117
1127.393811,1127.393792,1661327445.680587,67515.000,9091,1,T1,1,100,35.228
1127.524931,1127.524911,1661327445.811707,67642.000,9107,1,T1,1,100,35.241
1127.661213,1127.661194,1661327445.947989,67774.000,9127,1,T1,1,100,35.140
1127.795430,1127.795411,1661327446.082206,67904.000,9144,1,T1,1,100,35.131
1127.927582,1127.927563,1661327446.214358,68032.000,9175,1,T1,1,100,35.128
1128.060767,1128.060748,1661327446.347543,68161.000,9193,1,T1,1,100,35.126
1128.191887,1128.191868,1661327446.478663,68288.000,9211,1,T1,1,100,35.267
1128.325072,1128.325053,1661327446.611848,68417.000,9230,1,T1,1,100,35.257
1128.456192,1128.456172,1661327446.742968,68544.000,9264,1,T1,1,100,35.218
1128.589377,1128.589357,1661327446.876153,68673.000,9280,1,T1,1,100,35.236
1128.726691,1128.726672,1661327447.013467,68806.000,9298,1,T1,1,100,35.173
1128.859876,1128.859857,1661327447.146652,68935.000,9333,1,T1,1,100,35.217
1128.990996,1128.990976,1661327447.277772,69062.000,9349,1,T1,1,100,35.236
1129.123148,1129.123129,1661327447.409924,69190.000,9372,1,T1,1,100,35.279
1129.257365,1129.257346,1661327447.544142,69320.000,9388,1,T1,1,100,35.121
1129.392615,1129.392596,1661327447.679391,69451.000,9420,1,T1,1,100,35.123
1129.524767,1129.524748,1661327447.811543,69579.000,9437,1,T1,1,100,35.266
1129.655887,1129.655868,1661327447.942663,69706.000,9453,1,T1,1,100,35.186
1129.788040,1129.788020,1661327448.074816,69834.000,9471,1,T1,1,100,35.187
1129.925354,1129.925335,1661327448.212130,69967.000,9504,1,T1,1,100,35.223
1130.060604,1130.060584,1661327448.347380,70098.000,9521,1,T1,1,100,35.238
1130.192756,1130.192737,1661327448.479532,70226.000,9542,1,T1,1,100,35.209
1130.323876,1130.323857,1661327448.610652,70353.000,9574,1,T1,1,100,35.268
1130.457061,1130.457041,1661327448.743837,70482.000,9592,1,T1,1,100,35.258
1130.593343,1130.593324,1661327448.880119,70614.000,9611,1,T1,1,100,35.147
1130.726528,1130.726508,1661327449.013304,70743.000,9631,1,T1,1,100,35.170
