LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1103.947612,1103.947592,1661327422.234384,44805.500,5217,2,GX,1,100,0.671
1103.987361,1103.987341,1661327422.274133,44844.000,5217,2,GX,1,100,0.732
1104.027282,1104.027262,1661327422.314054,44882.667,5237,3,GX,1,100,0.641
1104.067203,1104.067183,1661327422.353975,44921.333,5237,3,GX,1,100,0.732
1104.107124,1104.107104,1661327422.393896,44960.000,5237,3,GX,1,100,0.153
1104.146873,1104.146853,1661327422.433645,44998.500,5253,2,GX,1,100,0.214
1104.186622,1104.186602,1661327422.473394,45037.000,5253,2,GX,1,100,0.305
1104.226199,1104.226179,1661327422.512970,45075.333,5270,3,GX,1,100,0.000
1104.265776,1104.265756,1661327422.552547,45113.667,5270,3,GX,1,100,0.366
1104.305353,1104.305333,1661327422.592124,45152.000,5270,3,GX,1,100,-0.946
1104.345962,1104.345942,1661327422.632734,45191.333,5286,3,GX,1,100,-2.014
1104.386572,1104.386552,1661327422.673343,45230.667,5286,3,GX,1,100,-1.068
1104.427181,1104.427161,1661327422.713952,45270.000,5286,3,GX,1,100,0.580
1104.467446,1104.467426,1661327422.754217,45309.000,5304,2,GX,1,100,0.519
1104.507711,1104.507691,1661327422.794482,45348.000,5304,2,GX,1,100,-0.244
1104.547632,1104.547612,1661327422.834404,45386.667,5322,3,GX,1,100,-0.580
1104.587553,1104.587533,1661327422.874325,45425.333,5322,3,GX,1,100,0.336
1104.627474,1104.627454,1661327422.914246,45464.000,5322,3,GX,1,100,0.519
1104.667223,1104.667203,1661327422.953995,45502.500,5340,2,GX,1,100,-0.946
1104.706972,1104.706952,1661327422.993743,45541.000,5340,2,GX,1,100,-0.427
1104.746893,1104.746873,1661327423.033664,45579.667,5359,3,GX,1,100,-0.366
1104.786814,1104.786794,1661327423.073586,45618.333,5359,3,GX,1,100,0.183
1104.826735,1104.826715,1661327423.113507,45657.000,5359,3,GX,1,100,-0.183
1104.867000,1104.866980,1661327423.153772,45696.000,5376,3,GX,1,100,-0.092
1104.907266,1104.907246,1661327423.194037,45735.000,5376,3,GX,1,100,0.732
1104.947531,1104.947511,1661327423.234302,45774.000,5376,3,GX,1,100,0.397
1104.988828,1104.988808,1661327423.275600,45814.000,5392,2,GX,1,100,1.221
1105.030126,1105.030106,1661327423.316897,45854.000,5392,2,GX,1,100,2.502
1105.069703,1105.069683,1661327423.356474,45892.333,5408,3,GX,1,100,2.533
1105.109280,1105.109260,1661327423.396051,45930.667,5408,3,GX,1,100,2.808
1105.148856,1105.148837,1661327423.435628,45969.000,5408,3,GX,1,100,3.235
1105.188605,1105.188585,1661327423.475377,46007.500,5426,2,GX,1,100,3.113
1105.228354,1105.228334,1661327423.515126,46046.000,5426,2,GX,1,100,2.563
1105.268275,1105.268255,1661327423.555047,46084.667,5448,3,GX,1,100,2.258
1105.308196,1105.308176,1661327423.594968,46123.333,5448,3,GX,1,100,3.082
1105.348117,1105.348097,1661327423.634889,46162.000,5448,3,GX,1,100,3.021
1105.387694,1105.387674,1661327423.674466,46200.333,5467,3,GX,1,100,2.533
1105.427271,1105.427251,1661327423.714043,46238.667,5467,3,GX,1,100,2.319
1105.466848,1105.466828,1661327423.753620,46277.000,5467,3,GX,1,100,2.014
1105.507113,1105.507093,1661327423.793885,46316.000,5483,2,GX,1,100,1.587
1105.547378,1105.547358,1661327423.834150,46355.000,5483,2,GX,1,100,1.404
1105.587988,1105.587968,1661327423.874759,46394.333,5498,3,GX,1,100,0.488
1105.628597,1105.628577,1661327423.915369,46433.667,5498,3,GX,1,100,-0.061
1105.669206,1105.669186,1661327423.955978,46473.000,5498,3,GX,1,100,0.122
1105.709127,1105.709107,1661327423.995899,46511.667,5516,3,GX,1,100,-0.305
1105.749048,1105.749028,1661327424.035820,46550.333,5516,3,GX,1,100,-0.244
1105.788969,1105.788949,1661327424.075741,46589.000,5516,3,GX,1,100,-0.092
1105.822007,1105.821988,1661327424.108779,46621.000,5532,2,GX,1,100,-0.336
1105.855046,1105.855026,1661327424.141817,46653.000,5532,2,GX,1,100,-0.092
